№     | Розширення           | Кількість 
--------------------------------------------------
1     | .bin                 | 276890    
2     | .h                   | 195596    
3     | .py                  | 168390    
4     | .html                | 151277    
5     | .dll                 | 137168    
6     | .strings             | 136912    
7     | .png                 | 132526    
8     | .pyc                 | 119774    
9     | .plist               | 93049     
10    | .js                  | 92482     
11    | .xml                 | 72509     
12    | .java                | 71686     
13    | .3                   | 53348     
14    | .po                  | 46916     
15    | .meta                | 45664     
16    | .pyi                 | 44840     
17    | .json                | 42504     
18    | .txt                 | 42034     
19    | .3pm                 | 41560     
20    | .mo                  | 39750     
21    | .tbd                 | 38380     
22    | .rb                  | 38080     
23    | .ri                  | 31602     
24    | .ts                  | 26368     
25    | .3ssl                | 24680     
26    | .dylib               | 18756     
27    | .nib                 | 18251     
28    | .svg                 | 17316     
29    | .1                   | 16379     
30    | .jpg                 | 15764     
31    | .cs                  | 15182     
32    | .loctable            | 14656     
33    | .map                 | 14574     
34    | .len                 | 14434     
35    | .md                  | 12682     
36    | .jar                 | 11430     
37    | .dat                 | 10179     
38    | .swiftinterface      | 9836      
39    | .globalconfig        | 9720      
40    | .swiftdoc            | 9610      
41    | .vim                 | 9434      
42    | .pm                  | 9098      
43    | .3x                  | 8636      
44    | .php                 | 7608      
45    | .8                   | 6866      
46    | .swiftmodule         | 6506      
47    | .3tcl                | 6424      
48    | .kt                  | 6288      
49    | .targets             | 5918      
50    | .stringsdict         | 5460      
